source,content,content_hi
IMD Weather Portal,"On 2025-08-16, the weather in Delhi is expected to have a temperature of 35°C, humidity of 72%, and rainfall of 2.1mm.","2025-08-16 को, दिल्ली में मौसम का तापमान 35°C, आर्द्रता 72%, और वर्षा 2.1mm होने की उम्मीद है।"
IMD Weather Portal,"On 2025-08-16, the weather in Mumbai is expected to have a temperature of 30°C, humidity of 85%, and rainfall of 12.5mm.","2025-08-16 को, मुंबई में मौसम का तापमान 30°C, आर्द्रता 85%, और वर्षा 12.5mm होने की उम्मीद है।"
Agmarknet Portal,"The market price for Tomato in Delhi on 2025-08-16 is Rs. 2500 per quintal.","2025-08-16 को दिल्ली में टमाटर का बाज़ार भाव रु. 2500 प्रति क्विंटल है।"
Agmarknet Portal,"The market price for Onion in Delhi on 2025-08-16 is Rs. 1800 per quintal.","2025-08-16 को दिल्ली में प्याज का बाज़ार भाव रु. 1800 प्रति क्विंटल है।"
Government Policy Portal,"The PM-KISAN scheme provides eligible farmers with an income support of Rs. 6,000 per year in three equal installments. Verification is done via Aadhaar.","पीएम-किसान योजना पात्र किसानों को तीन समान किश्तों में प्रति वर्ष रु. 6,000 की आय सहायता प्रदान करती है। सत्यापन आधार के माध्यम से किया जाता है।"
Government Policy Portal,"The Pradhan Mantri Fasal Bima Yojana (PMFBY) is the government-sponsored crop insurance scheme. It provides financial support to farmers suffering crop loss/damage.","प्रधानमंत्री फसल बीमा योजना (PMFBY) सरकार द्वारा प्रायोजित फसल बीमा योजना है। यह फसल हानि/क्षति से पीड़ित किसानों को वित्तीय सहायता प्रदान करती है।"
ICAR Advisory,"For rice cultivation in clay soil, maintain a water level of 5cm in the field during the tillering stage to promote healthy growth.","चिकनी मिट्टी में चावल की खेती के लिए, स्वस्थ विकास को बढ़ावा देने के लिए टिलरिंग चरण के दौरान खेत में 5 सेमी पानी का स्तर बनाए रखें।"
ICAR Advisory,"To control Stem Borer pest in rice, install pheromone traps at a rate of 15-20 per hectare.","चावल में तना छेदक कीट को नियंत्रित करने के लिए, 15-20 प्रति हेक्टेयर की दर से फेरोमोन ट्रैप स्थापित करें।"
ICAR Advisory,"For wheat crops, the recommended NPK (Nitrogen, Phosphorus, Potassium) fertilizer ratio is 120:60:40 kg/hectare.","गेहूं की फसलों के लिए, अनुशंसित एनपीके (नाइट्रोजन, फास्फोरस, पोटेशियम) उर्वरक अनुपात 120:60:40 किग्रा/हेक्टेयर है।"
ICAR Advisory,"To manage Aphid pests in wheat, spray a solution of neem oil (300 ppm) at 5ml per liter of water.","गेहूं में माहू कीट के प्रबंधन के लिए, नीम के तेल (300 पीपीएम) का 5 मिली प्रति लीटर पानी में घोलकर छिड़काव करें।"
ICAR Advisory,"For cotton crops, protect against Pink Bollworm by using pheromone traps and destroying crop residue after harvest.","कपास की फसलों के लिए, गुलाबी सुंडी से बचाव के लिए फेरोमोन ट्रैप का उपयोग करें और फसल के बाद अवशेषों को नष्ट कर दें।"
ICAR Advisory,"The ideal soil for cotton is sandy loam with good drainage. Soil pH should be between 6.0 and 7.5.","कपास के लिए आदर्श मिट्टी अच्छी जल निकासी वाली रेतीली दोमट है। मिट्टी का पीएच 6.0 और 7.5 के बीच होना चाहिए।"
ICAR Advisory,"Sugregcane requires heavy irrigation. The drip irrigation method is highly recommended to conserve water.","गन्ने को भारी सिंचाई की आवश्यकता होती है। पानी के संरक्षण के लिए ड्रिप सिंचाई पद्धति की अत्यधिक अनुशंसा की जाती है।"
ICAR Advisory,"To prevent Red Rot disease in sugarcane, use disease-resistant varieties and treat setts with fungicide.","गन्ने में रेड रॉट रोग को रोकने के लिए, रोग प्रतिरोधी किस्मों का उपयोग करें और रोपण से पहले सेट को फफूंदनाशक से उपचारित करें।"
Soil Health Portal,"A soil health card provides information on the nutrient status of your soil. Get your soil tested every 2-3 years.","एक मृदा स्वास्थ्य कार्ड आपकी मिट्टी की पोषक स्थिति के बारे में जानकारी प्रदान करता है। हर 2-3 साल में अपनी मिट्टी का परीक्षण कराएं।"
Soil Health Portal,"Organic manure, such as cow dung or compost, is crucial for improving soil structure and fertility.","गाय के गोबर या कम्पोस्ट जैसी जैविक खाद, मिट्टी की संरचना और उर्वरता में सुधार के लिए महत्वपूर्ण है।"
Government Policy Portal,"The Kisan Credit Card (KCC) scheme provides farmers with timely access to credit at a lower rate of interest.","किसान क्रेडिट कार्ड (KCC) योजना किसानों को कम ब्याज दर पर उनकी खेती और अन्य जरूरतों के लिए समय पर ऋण उपलब्ध कराती है।"
